frequency,variable,scenario,grid,biascorrection,member_id,gcm,rcm,path
day,hurs,hist-rcp85,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/hurs.hist-rcp85.day.NAM-44i.raw.zarr
day,hurs,hist,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/hurs.hist.day.NAM-22i.raw.zarr
day,hurs,hist,NAM-22i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/hurs.hist.day.NAM-22i.raw.zarr
day,hurs,hist,NAM-22i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/hurs.hist.day.NAM-22i.raw.zarr
day,hurs,hist,NAM-22i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/hurs.hist.day.NAM-22i.raw.zarr
day,hurs,hist,NAM-22i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/hurs.hist.day.NAM-22i.raw.zarr
day,hurs,hist,NAM-44i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/hurs.hist.day.NAM-44i.raw.zarr
day,hurs,hist,NAM-44i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/hurs.hist.day.NAM-44i.raw.zarr
day,hurs,hist,NAM-44i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/hurs.hist.day.NAM-44i.raw.zarr
day,hurs,hist,NAM-44i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/hurs.hist.day.NAM-44i.raw.zarr
day,hurs,hist,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/hurs.hist.day.NAM-44i.raw.zarr
day,hurs,rcp45,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/hurs.rcp45.day.NAM-22i.raw.zarr
day,hurs,rcp45,NAM-22i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/hurs.rcp45.day.NAM-22i.raw.zarr
day,hurs,rcp45,NAM-22i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/hurs.rcp45.day.NAM-22i.raw.zarr
day,hurs,rcp45,NAM-22i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/hurs.rcp45.day.NAM-22i.raw.zarr
day,hurs,rcp45,NAM-22i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/hurs.rcp45.day.NAM-22i.raw.zarr
day,hurs,rcp45,NAM-44i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/hurs.rcp45.day.NAM-44i.raw.zarr
day,hurs,rcp45,NAM-44i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/hurs.rcp45.day.NAM-44i.raw.zarr
day,hurs,rcp45,NAM-44i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/hurs.rcp45.day.NAM-44i.raw.zarr
day,hurs,rcp45,NAM-44i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/hurs.rcp45.day.NAM-44i.raw.zarr
day,hurs,rcp45,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/hurs.rcp45.day.NAM-44i.raw.zarr
day,hurs,rcp85,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/hurs.rcp85.day.NAM-22i.raw.zarr
day,hurs,rcp85,NAM-22i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/hurs.rcp85.day.NAM-22i.raw.zarr
day,hurs,rcp85,NAM-22i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/hurs.rcp85.day.NAM-22i.raw.zarr
day,hurs,rcp85,NAM-22i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/hurs.rcp85.day.NAM-22i.raw.zarr
day,hurs,rcp85,NAM-22i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/hurs.rcp85.day.NAM-22i.raw.zarr
day,hurs,rcp85,NAM-44i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/hurs.rcp85.day.NAM-44i.raw.zarr
day,hurs,rcp85,NAM-44i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/hurs.rcp85.day.NAM-44i.raw.zarr
day,hurs,rcp85,NAM-44i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/hurs.rcp85.day.NAM-44i.raw.zarr
day,hurs,rcp85,NAM-44i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/hurs.rcp85.day.NAM-44i.raw.zarr
day,hurs,rcp85,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/hurs.rcp85.day.NAM-44i.raw.zarr
day,huss,eval,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/huss.eval.day.NAM-22i.raw.zarr
day,huss,eval,NAM-22i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/huss.eval.day.NAM-22i.raw.zarr
day,huss,eval,NAM-22i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/huss.eval.day.NAM-22i.raw.zarr
day,huss,eval,NAM-22i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/huss.eval.day.NAM-22i.raw.zarr
day,huss,eval,NAM-22i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/huss.eval.day.NAM-22i.raw.zarr
day,huss,eval,NAM-44i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/huss.eval.day.NAM-44i.raw.zarr
day,huss,eval,NAM-44i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/huss.eval.day.NAM-44i.raw.zarr
day,huss,eval,NAM-44i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/huss.eval.day.NAM-44i.raw.zarr
day,huss,eval,NAM-44i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/huss.eval.day.NAM-44i.raw.zarr
day,huss,eval,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/huss.eval.day.NAM-44i.raw.zarr
day,huss,hist-rcp45,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/huss.hist-rcp45.day.NAM-22i.raw.zarr
day,huss,hist-rcp45,NAM-22i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/huss.hist-rcp45.day.NAM-22i.raw.zarr
day,huss,hist-rcp45,NAM-22i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/huss.hist-rcp45.day.NAM-22i.raw.zarr
day,huss,hist-rcp45,NAM-22i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/huss.hist-rcp45.day.NAM-22i.raw.zarr
day,huss,hist-rcp45,NAM-22i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/huss.hist-rcp45.day.NAM-22i.raw.zarr
day,huss,hist-rcp45,NAM-44i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/huss.hist-rcp45.day.NAM-44i.raw.zarr
day,huss,hist-rcp45,NAM-44i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/huss.hist-rcp45.day.NAM-44i.raw.zarr
day,huss,hist-rcp45,NAM-44i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/huss.hist-rcp45.day.NAM-44i.raw.zarr
day,huss,hist-rcp45,NAM-44i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/huss.hist-rcp45.day.NAM-44i.raw.zarr
day,huss,hist-rcp45,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/huss.hist-rcp45.day.NAM-44i.raw.zarr
day,huss,hist-rcp85,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/huss.hist-rcp85.day.NAM-22i.raw.zarr
